source_number|name|ra|dec|error_radius|snr|y5r500|y5r500_error|redshift|redshift_source_name|mass_sz|mass_sz_pos_err|mass_sz_neg_err
357|PSZ2-G083.14+66.57|141346.7|+433908|5.708530|5.38624|1.11423e-03|4.11369e-04|0.089000|RXCJ1413.7+4339|2.074912|0.247524|0.265667
358|PSZ2-G083.29-31.03|222831.1|+203719|1.462642|9.53159|2.66276e-03|4.91374e-04|0.412000|RXCJ2228.6+2036|8.266169|0.431711|0.445156
359|PSZ2-G083.56+24.90|182932.6|+544136|2.428906|6.12611|9.34044e-04|2.77793e-04|||||
360|PSZ2-G083.85-55.43|232737.5|+005631|2.574109|5.27956|1.90060e-03|9.85213e-04|0.302061|RMJ232731.9+005634.1|4.916154|0.493899|0.550646
361|PSZ2-G083.86+85.09|130551.0|+305335|1.885625|8.04678|2.66163e-03|7.71990e-04|0.183200|RXCJ1305.9+3054|4.657857|0.329968|0.338951
362|PSZ2-G084.10+58.72|144915.8|+483332|2.705462|4.98999|8.66549e-04|3.24136e-04|0.731000||5.396077|0.618520|0.618317
363|PSZ2-G084.13-35.41|224156.5|+173124|6.221735|6.15549|2.82981e-03|1.12810e-03|0.313700|RXCJ2241.8+1732|5.496043|0.567185|0.596523
364|PSZ2-G084.15-08.63|212344.7|+380805|6.353250|4.82442|1.54356e-03|5.44420e-04|||||
365|PSZ2-G084.19-47.48|231024.7|+073857|6.112978|5.45028|8.99660e-03|2.50774e-03|0.042400|RXCJ2310.4+0734|1.482585|0.192580|0.200678
366|PSZ2-G084.41-12.43|213751.4|+353455|6.124811|7.53384|5.68306e-03|1.97236e-03|0.273000||5.234128|0.452927|0.456836
367|PSZ2-G084.47+12.63|194818.9|+511422|2.360238|9.47548|2.76658e-03|7.18600e-04|0.185000|RXCJ1948.3+5113|4.866704|0.321165|0.334237
368|PSZ2-G084.50+31.35|174507.6|+562238|5.067629|4.55117|1.57142e-03|8.78097e-04|0.323600|WHLJ174520.4+562349|4.189792|0.550442|0.583721
369|PSZ2-G084.62-15.86|214943.8|+331022|3.625570|6.37508|1.26364e-03|3.69642e-04|0.367300||5.742656|0.534745|0.557467
370|PSZ2-G084.69+42.28|162703.8|+552849|2.657774|6.41603|2.72077e-03|9.75525e-04|0.130000|RXCJ1626.9+5528|2.699005|0.256941|0.265414
371|PSZ2-G084.69-58.60|233609.7|-012601|2.205517|4.73962|8.08851e-04|2.07720e-04|||||
372|PSZ2-G084.81-62.18|234415.8|-042324|2.558197|9.49554|7.37949e-03|1.57689e-03|0.078600|RXCJ2344.2-0422|3.116566|0.176734|0.208566
373|PSZ2-G084.82+20.66|190001.5|+544200|1.989374|6.05770|7.28711e-04|1.74899e-04|0.367000||4.487420|0.451654|0.464929
374|PSZ2-G084.85+35.05|171816.0|+563922|3.459484|5.40425|2.83816e-03|1.02867e-03|0.113800|RXCJ1718.1+5639|2.428706|0.266572|0.279958
375|PSZ2-G085.23+39.42|164631.0|+562803|2.587293|6.05434|2.52075e-03|9.25136e-04|0.256500|ABELL2231|3.880941|0.373269|0.411613
376|PSZ2-G085.72+10.66|200306.3|+512058|3.021921|6.18485|4.20872e-03|1.29848e-03|0.080500||2.238015|0.190893|0.195612
377|PSZ2-G085.82+35.44|171502.1|+572514|3.999140|5.55610|4.23668e-03|1.41897e-03|0.027600|RXCJ1715.3+5724|1.010239|0.117218|0.120001
378|PSZ2-G085.95+25.23|183027.9|+565256|2.377683|5.54647|8.00164e-04|2.81445e-04|||||
379|PSZ2-G085.98+26.69|181958.7|+571007|2.156463|9.33911|4.57076e-03|1.10526e-03|0.179000|RXCJ1819.9+5710|3.925199|0.204876|0.250160
380|PSZ2-G086.07-41.99|230233.2|+125708|5.894071|4.78100|8.50553e-04|1.96129e-04|||||
381|PSZ2-G086.28+74.76|133754.6|+385215|4.089313|5.06918|1.74960e-03|6.76871e-04|||||
382|PSZ2-G086.35-13.94|214944.3|+354237|2.424381|5.42270|1.51568e-03|7.09359e-04|||||
383|PSZ2-G086.43-24.95|222213.9|+270835|2.428589|4.82033|1.13657e-03|4.89962e-04|0.231476|RMJ222212.5+270837.0|3.810165|0.486987|0.522573
384|PSZ2-G086.47+15.31|193813.1|+541024|2.212162|16.46072|5.20814e-03|7.04877e-04|0.260000|RXCJ1938.3+5409|7.577957|0.287614|0.280969
385|PSZ2-G086.54-26.67|222707.3|+254852|2.427865|5.80904|1.20183e-03|3.68733e-04|0.165000|RXCJ2226.8+2550|3.454730|0.381233|0.407982
386|PSZ2-G086.58+73.11|134330.0|+400758|2.428678|5.12090|1.55008e-03|6.10759e-04|0.221900|ZwCl1341.2+4022|3.831496|0.486558|0.520446
387|PSZ2-G086.62+30.26|175353.8|+580744|2.427651|7.37537|1.87554e-03|6.16705e-04|0.226300|RXCJ1754.0+5805|4.332966|0.355457|0.389259
